paleocurrent_trend,paleocurrent_plunge,up_or_down,bedding_dip_direction,bedding_dip,group,note
9,49,up,13,52,Nick S-H,flute casts; flow to south
40,42,up,6,52,Nick S-H,current ripple; flow to southwest
50,53,up,15,57,Nick S-H,current ripple; flow to southwest
67,46,up,24,62,Nick S-H,current ripple; flow to southwest
60,23,up,21,30,Nick S-H,current ripple; flow to southwest
220,8,down,175,16,Nick S-H,current ripple; flow to southwest
217,10,down,175,16,Nick S-H,current ripple; flow to southwest
226,7,down,175,16,Nick S-H,current ripple; flow to southwest
214,11,down,175,16,Nick S-H,current ripple; flow to southwest
229,7,down,184,7,Nick S-H,current ripple; flow to southwest
197,4,down,129,27,Nick S-H,current ripple; flow to southwest
230,9,down,173,14,Nick S-H,current ripple; flow to southwest
192,9,down,173,14,Nick S-H,current ripple; flow to southwest
204,9,down,162,14,Nick S-H,current ripple; flow to southwest
211,11,down,187,5,Nick S-H,current ripple; flow to southwest